site,terrain,plot_type,Y,X,n_spruce,plot_area_m2
FoxLake,Lowland,Quick,6796800.139,469922.5097,2,40
FoxLake,Lowland,Quick,6796802.056,469932.3244,0,40
FoxLake,Lowland,Quick,6796802.074,469893.4703,0,40
FoxLake,Lowland,Quick,6796803.972,469942.1391,1,40
FoxLake,Lowland,Quick,6796804.167,469883.6917,0,40
FoxLake,Lowland,Quick,6796805.888,469951.9538,0,40
FoxLake,Lowland,Quick,6796806.26,469873.9132,0,40
FoxLake,Lowland,Regen,6796807.613,469960.787,0,50.0144692
FoxLake,Lowland,Quick,6796807.969,469964.6357,0,40
FoxLake,Lowland,Regen,6796808.133,469935.0403,6,50.0144692
FoxLake,Lowland,Quick,6796808.353,469864.1347,0,40
FoxLake,Lowland,Regen,6796808.789,469862.0981,0,50.0144692
FoxLake,Lowland,Quick,6796808.89,469974.5932,2,40
FoxLake,Lowland,Regen,6796809.105,470139.8471,1,50.0144692
FoxLake,Lowland,Quick,6796809.812,469984.5506,48,40
FoxLake,Lowland,Regen,6796810.23,469991.9718,23,50.0144692
FoxLake,Lowland,Quick,6796810.733,469994.5081,0,40
FoxLake,Lowland,Quick,6796810.821,469999.4375,0,40
FoxLake,Lowland,Quick,6796811.654,470004.4656,0,40
FoxLake,Lowland,Quick,6796812.001,470009.3677,0,40
FoxLake,Lowland,Regen,6796812.484,470013.4273,0,50.0144692
FoxLake,Lowland,Regen,6796812.759,470002.174,0,12.56637061
FoxLake,Lowland,Quick,6796813.181,470019.2978,0,40
FoxLake,Lowland,Quick,6796814.361,470029.2279,1,40
FoxLake,Lowland,Quick,6796815.541,470039.158,0,40
FoxLake,Lowland,Regen,6796815.577,470065.4859,0,50.0144692
FoxLake,Lowland,Regen,6796816.603,470048.0951,1,50.0144692
FoxLake,Lowland,Quick,6796822.691,469875.0494,10,40
FoxLake,Lowland,Regen,6796825.41,469991.3327,0,12.56637061
FoxLake,Lowland,Quick,6796830.008,469881.8658,20,40
FoxLake,Lowland,Quick,6796837.325,469888.6822,2,40
FoxLake,Lowland,Quick,6796844.641,469895.4986,38,40
FoxLake,Lowland,Regen,6796845.673,469896.46,28,50.0144692
FoxLake,Lowland,Regen,6796846.445,470171.6058,0,50.0144692
FoxLake,Lowland,Quick,6796848.507,469905.0021,10,40
FoxLake,Lowland,Quick,6796848.644,470165.9686,0,40
FoxLake,Lowland,Quick,6796851.656,469914.4933,0,40
FoxLake,Lowland,Regen,6796851.827,470009.4044,0,50.0144692
FoxLake,Lowland,Quick,6796852.278,470156.6524,0,40
FoxLake,Lowland,Quick,6796853.432,470018.2601,0,40
FoxLake,Lowland,Quick,6796853.667,470001.4061,0,40
FoxLake,Lowland,Quick,6796854.503,470167.597,0,40
FoxLake,Lowland,Quick,6796854.806,469923.9845,1,40
FoxLake,Lowland,Quick,6796855.216,470028.0998,0,40
FoxLake,Lowland,Quick,6796855.908,469991.6605,0,40
FoxLake,Lowland,Quick,6796855.913,470147.3362,0,40
FoxLake,Lowland,Quick,6796856.999,470037.9395,0,40
FoxLake,Lowland,Quick,6796857.955,469933.4758,0,40
FoxLake,Lowland,Quick,6796858.149,469981.9149,0,40
FoxLake,Lowland,Quick,6796858.783,470047.7791,0,40
FoxLake,Lowland,Quick,6796859.547,470138.0201,0,40
FoxLake,Lowland,Quick,6796860.391,469972.1693,0,40
FoxLake,Lowland,Quick,6796860.566,470057.6188,0,40
FoxLake,Lowland,Quick,6796861.104,469942.967,0,40
FoxLake,Lowland,Regen,6796861.919,470065.0832,0,50.0144692
FoxLake,Lowland,Quick,6796862.632,469962.4237,0,40
FoxLake,Lowland,Quick,6796862.655,470074.053,0,40
FoxLake,Lowland,Quick,6796863.181,470128.7039,0,40
FoxLake,Lowland,Quick,6796863.456,470163.1428,0,40
FoxLake,Lowland,Quick,6796863.473,470084.0195,0,40
FoxLake,Lowland,Quick,6796864.291,470093.986,0,40
FoxLake,Lowland,Regen,6796864.649,469953.6527,0,24.98320142
FoxLake,Lowland,Quick,6796865.109,470103.9525,0,40
FoxLake,Lowland,Quick,6796865.927,470113.919,0,40
FoxLake,Lowland,Regen,6796866.452,470120.3193,0,50.0144692
FoxLake,Lowland,Quick,6796872.409,470158.6885,0,40
